,url,title,sentiment_mean,num_tweets,wc,negativ_ct,positiv_ct,negativ_percent,positiv_percent,emotionality,positivity
136,http://www.cnn.com/2016/02/28/politics/marco-rubio-donald-trump-make-america-orange/index.html,"Rubio on Trump: 'He's not gonna make America great, he's gonna make America orange'",0.0344827584922,29.0,316,5,2,0.0158227848101,0.00632911392405,0.0221518987342,-0.00949367088608
137,http://www.cnn.com/2016/03/06/politics/michigan-poll-donald-trump-hillary-clinton/index.html,"Poll: Trump, Clinton lead the way in Michigan",0.103448279202,29.0,261,1,0,0.00383141762452,0.0,0.00383141762452,-0.00383141762452
138,http://www.cnn.com/2016/03/10/politics/best-quotes-republican-debate-miami/index.html,The most memorable quotes from the CNN GOP debate in Miami,0.851063847542,47.0,248,2,3,0.00806451612903,0.0120967741935,0.0201612903226,0.00403225806452
139,http://www.cnn.com/2016/03/08/politics/mitt-romney-marco-rubio-robocalls/index.html,Mitt Romney cuts get-out-the-vote robocalls for Marco Rubio,0.0,74.0,254,1,5,0.00393700787402,0.0196850393701,0.0236220472441,0.0157480314961
140,http://www.cnn.com/2016/03/21/politics/donald-trump-aipac-israel-conference/index.html,Donald Trump faces test on Middle East at pro-Israel gathering,0.310344815254,116.0,1201,10,20,0.00832639467111,0.0166527893422,0.0249791840133,0.00832639467111
141,http://www.foxnews.com/politics/2016/04/03/trump-cruz-take-different-paths-saturday-but-stay-on-attack.html,"TRADING BARBS: Trump, Cruz in attack mode as Wis. primary nears",0.0,39.0,889,10,8,0.0112485939258,0.00899887514061,0.0202474690664,-0.00224971878515
142,http://www.cnn.com/2016/04/25/politics/ted-cruz-john-kasich-donald-trump/index.html,Cruz-Kasich alliance: Will it work?,0.0137614682317,218.0,27,1,0,0.037037037037,0.0,0.037037037037,-0.037037037037
143,http://www.cnn.com/2016/04/25/politics/hillary-clinton-donald-trump/index.html,Clinton knocks Trump's lavish lifestyle,0.227941170335,136.0,44,0,1,0.0,0.0227272727273,0.0227272727273,0.0227272727273
144,http://www.cnn.com/2016/01/12/politics/hillary-clinton-bernie-sanders-income-inequality/index.html,"Clinton slams Sanders, Trump",0.0686274543405,102.0,962,4,10,0.004158004158,0.010395010395,0.014553014553,0.00623700623701
145,http://www.cnn.com/2016/01/21/politics/barbara-bush-jeb-bush-video/index.html,Barbara Bush campaigns for Jeb,0.645569622517,79.0,1008,3,14,0.00297619047619,0.0138888888889,0.0168650793651,0.0109126984127
146,http://www.cnn.com/2016/01/21/politics/hillary-clinton-bernie-sanders-foreign-policy/index.html,Clinton campaign casts Sanders as a foreign policy lightweight,0.384615391493,39.0,441,4,6,0.00907029478458,0.0136054421769,0.0226757369615,0.00453514739229
147,http://www.cnn.com/2016/01/14/politics/martin-omalley-qualifies-debate-democrat-2016-election/index.html,Martin O'Malley qualifies for next Democratic debate,-0.621621608734,37.0,387,2,2,0.00516795865633,0.00516795865633,0.0103359173127,0.0
148,http://www.cnn.com/2016/01/26/politics/donald-trump-republicans-democrats-political-prediction-market/index.html,Political Prediction Market: Trump leads GOP pack with 46% for nomination,0.115384615958,26.0,371,0,1,0.0,0.00269541778976,0.00269541778976,0.00269541778976
149,http://www.npr.org/2016/01/26/464375175/trump-hammers-birther-charge-dismisses-cruz-as-the-canadian,"Trump Hammers Birther Charge, Dismisses Cruz As 'The Canadian'",0.0285714287311,35.0,542,6,9,0.0110701107011,0.0166051660517,0.0276752767528,0.00553505535055
150,http://www.cnn.com/2016/01/24/politics/ip-forecast-the-other-trump-effect/index.html,How 'The Donald' is shaping the 2016 Democratic race,0.75,20.0,881,3,10,0.00340522133939,0.011350737798,0.0147559591373,0.00794551645857
151,http://www.cnn.com/2016/01/24/politics/donald-trump-iowa-rivals/index.html,Trump presses forward with attacks in Iowa,0.0689655169845,29.0,416,3,2,0.00721153846154,0.00480769230769,0.0120192307692,-0.00240384615385
152,http://www.cnn.com/2016/01/27/politics/donald-trump-pew-religion-poll-atheists/index.html,"Pew poll: Trump, Clinton seen as least religious candidates",0.0857142880559,35.0,392,0,6,0.0,0.015306122449,0.015306122449,0.015306122449
153,http://www.politico.com/story/2016/01/michael-bloomberg-presidential-trial-balloon-gop-reaction-218150,Bloomberg trial balloon has Republicans laughing,0.0480000004172,125.0,2160,12,14,0.00555555555556,0.00648148148148,0.012037037037,0.000925925925926
154,https://www.washingtonpost.com/opinions/marco-rubio-and-bernie-sanders-were-the-real-winners-in-iowa/2016/02/02/470947a8-c978-11e5-a7b2-5a2f824b02c9_story.html,Marco Rubio and Bernie Sanders were the real winners in Iowa,0.0975609719753,41.0,777,7,12,0.00900900900901,0.015444015444,0.024453024453,0.00643500643501
155,http://www.cnn.com/2016/02/03/politics/chris-christie-hillary-clinton-rear-end/index.html,Chris Christie on Hillary Clinton: I'll 'beat her rear end',0.0,22.0,197,0,0,0.0,0.0,0.0,0.0
156,http://www.cnn.com/2016/02/02/opinions/trump-is-a-loser-dantonio/index.html,Donald Trump is a loser (Opinion),-1.0,46.0,987,8,17,0.0081053698075,0.0172239108409,0.0253292806484,0.00911854103343
157,http://www.foxnews.com/opinion/2016/02/20/america-could-be-looking-at-trump-clinton-contest.html,"CAMPAIGN 2016 OPINION Could we be looking at a Trump, Clinton contest?",0.0,74.0,710,3,7,0.00422535211268,0.00985915492958,0.0140845070423,0.0056338028169
158,http://www.cnn.com/2016/02/19/politics/ted-cruz-south-carolina-super-tuesday/index.html,Ted Cruz worry: Big South Carolina loss equals bad Super Tuesday,-0.885245919228,61.0,1108,7,14,0.00631768953069,0.0126353790614,0.0189530685921,0.00631768953069
159,http://www.cnn.com/2016/02/18/politics/donald-trump-ted-cruz-poll-cbs/index.html,"Poll: Trump on top, Cruz and Rubio trail",1.0,48.0,402,3,4,0.00746268656716,0.00995024875622,0.0174129353234,0.00248756218905
160,http://www.foxnews.com/politics/2016/02/18/gun-rights-battle-heats-up-in-gop-primary.html,BALLOTS AND BULLETS: Gun rights battle heats up GOP primary race,-0.753086447716,81.0,891,7,11,0.00785634118967,0.0123456790123,0.020202020202,0.00448933782267
161,http://www.cnn.com/2016/02/25/politics/best-quotes-republican-debate-houston/index.html,The most memorable quotes of the CNN Republican debate,0.769230782986,52.0,361,6,7,0.016620498615,0.0193905817175,0.0360110803324,0.00277008310249
162,http://www.cnn.com/2016/02/25/politics/republican-debate-highlights/index.html,Republicans gather for high-stakes debate before Super Tuesday,0.109022557735,266.0,609,5,9,0.00821018062397,0.0147783251232,0.0229885057471,0.00656814449918
163,http://www.cnn.com/2016/03/07/politics/florida-poll-donald-trump-marco-rubio/index.html,Florida poll: Trump leads Rubio,-0.038834951818,103.0,197,1,2,0.00507614213198,0.010152284264,0.0152284263959,0.00507614213198
164,http://www.cnn.com/2016/03/06/politics/nancy-reagan-dies-political-reaction/index.html,Political world mourns Nancy Reagan,0.0,39.0,552,2,14,0.0036231884058,0.0253623188406,0.0289855072464,0.0217391304348
165,http://www.cnn.com/2016/03/11/politics/cnn-miami-gop-debate-in-gifs/index.html,CNN's Republican debate in GIFs,0.304347813129,23.0,124,1,1,0.00806451612903,0.00806451612903,0.0161290322581,0.0
166,http://www.cnn.com/2016/03/10/politics/trump-cruz-republican-leaders/index.html,"Donald Trump or Ted Cruz? GOP leaders shake their heads, prepare to choose",0.0599999986589,50.0,1163,12,22,0.0103181427343,0.0189165950129,0.0292347377472,0.00859845227859
167,http://www.cnn.com/2016/03/11/politics/john-kasich-ohio-donald-trump/index.html,Inside John Kasich's plan to beat Donald Trump in Ohio,0.0,43.0,1569,6,19,0.0038240917782,0.0121096239643,0.0159337157425,0.00828553218611
168,http://www.cnn.com/2016/03/15/politics/marco-rubio-campaign-florida-utah/index.html,Rubio vows: I'm going to Utah 'irrespective' of Florida results,0.0,25.0,307,3,2,0.00977198697068,0.00651465798046,0.0162866449511,-0.00325732899023
169,http://www.cnn.com/2016/03/16/politics/super-tuesday-missouri-delegates/index.html,What's going on in Missouri?,0.957264959812,117.0,301,1,3,0.00332225913621,0.00996677740864,0.0132890365449,0.00664451827243
170,http://www.cnn.com/2016/03/16/politics/latino-voters-naturalization-trump/index.html,Latinos line up to get naturalized and stop Trump,0.0189873408526,158.0,1013,10,10,0.00987166831194,0.00987166831194,0.0197433366239,0.0
171,http://www.foxnews.com/politics/2016/03/16/trump-builds-momentum-with-big-night-narrowing-field.html,GOP FIELD NARROWS Trump builds momentum with big primary night,0.0439560450613,91.0,891,4,10,0.00448933782267,0.0112233445567,0.0157126823793,0.00673400673401
172,http://www.foxnews.com/politics/2016/03/17/what-happens-to-delegates-won-by-rubio-other-ex-candidates.html,NEW KINGMAKERS? Rubio delegates could be factor in GOP convention,0.0125000001863,80.0,584,3,9,0.00513698630137,0.0154109589041,0.0205479452055,0.0102739726027
173,http://www.cnn.com/2016/03/16/politics/donald-trump-instagram-putin-clinton/index.html,Donald Trump video uses Putin to hit Clinton,0.49180328846,61.0,167,4,1,0.0239520958084,0.0059880239521,0.0299401197605,-0.0179640718563
174,http://www.cnn.com/2016/04/10/politics/donald-trump-paul-manafort-gestapo-tactics/index.html,Trump aide: Cruz using 'Gestapo tactics',0.00662251655012,151.0,44,0,1,0.0,0.0227272727273,0.0227272727273,0.0227272727273
175,http://www.cnn.com/2016/04/25/opinions/talk-radio-split-between-trump-and-cruz-opinion-rosenwald/index.html,The talk radio split between Trump and Cruz,0.0,22.0,145,0,2,0.0,0.0137931034483,0.0137931034483,0.0137931034483
176,http://www.foxnews.com/politics/2016/01/10/republican-fear-losing-senate-but-so-far-just-close-races-with-democrats-having-no-clear-advantage.html,"Republican fear losing Senate, but so far just close races with Democrats having no clear advantage",0.829059839249,117.0,986,6,6,0.00608519269777,0.00608519269777,0.0121703853955,0.0
177,http://www.cnn.com/2016/01/19/politics/ted-cruz-marco-rubio-new-hampshire/index.html,Cruz's New Hampshire dream: Bury Marco Rubio,1.0,35.0,1038,6,10,0.00578034682081,0.00963391136802,0.0154142581888,0.00385356454721
178,http://www.politico.com/story/2016/01/ted-cruz-ethanol-iowa-218016,Ted Cruz refuses to budge in opposition to ethanol mandate,0.0909090936184,22.0,1574,9,18,0.00571791613723,0.0114358322745,0.0171537484117,0.00571791613723
179,http://www.npr.org/2016/01/14/463122161/gop-debate-trump-at-center-stage-once-again,GOP Debate: Trump At Center Stage Once Again,0.0,25.0,152,1,0,0.00657894736842,0.0,0.00657894736842,-0.00657894736842
180,http://www.politico.com/story/2016/01/hillary-clinton-emails-rope-line-question-218088,Clinton gets hit with email scandal question at the rope line,-0.956521749496,46.0,1542,14,15,0.00907911802853,0.00972762645914,0.0188067444877,0.00064850843061
181,http://blogs.wsj.com/washwire/2016/01/26/house-conservatives-travel-to-iowa-for-ted-cruz/,House Conservatives Travel to Iowa for Ted Cruz,0.0344827584922,29.0,865,5,11,0.00578034682081,0.0127167630058,0.0184971098266,0.00693641618497
182,http://www.foxnews.com/politics/2016/01/22/fox-news-poll-trump-cruz-top-gop-race-few-have-birther-concerns.html,"FOX NEWS POLL  Trump, Cruz top GOP race, few have 'birther' concerns",0.964538991451,282.0,754,7,5,0.00928381962865,0.00663129973475,0.0159151193634,-0.0026525198939
183,http://www.politico.com/story/2016/01/martin-omalley-iowa-caucuses-sanders-clinton-218486,Defiant Martin O'Malley insists he won't play Iowa kingmaker,-0.916666686535,12.0,1891,13,18,0.00687466948704,0.00951877313591,0.016393442623,0.00264410364886
184,http://www.cnn.com/2016/01/31/politics/donald-trump-ted-cruz-health-care-obamacare/index.html,Donald Trump: 'Ted Cruz is a total liar',-0.979695439339,197.0,570,4,6,0.00701754385965,0.0105263157895,0.0175438596491,0.00350877192982
185,http://www.cnn.com/2016/02/03/politics/new-hampshire-democratic-town-hall-what-to-watch/index.html,5 things to watch in the Democratic town hall,0.542056083679,107.0,1038,13,15,0.0125240847784,0.014450867052,0.0269749518304,0.0019267822736
186,http://www.cnn.com/2016/01/28/politics/donald-trump-2016-election-rally-gop-debate/index.html,Trump basks in his spotlight,0.0229357797652,436.0,190,4,1,0.0210526315789,0.00526315789474,0.0263157894737,-0.0157894736842
187,http://www.foxnews.com/politics/2016/02/03/donald-trump-admits-skipping-debate-may-have-hurt-him-in-iowa.html,CAUCUS REGRETS Trump admits debate snub may have cost him Iowa,-0.866666674614,45.0,286,0,2,0.0,0.00699300699301,0.00699300699301,0.00699300699301
188,http://www.cnn.com/2016/02/01/politics/iowa-caucuses-2016-highlights/index.html,Iowa caucuses: Donald Trump's moment of truth,0.681318700314,364.0,1289,13,26,0.0100853374709,0.0201706749418,0.0302560124127,0.0100853374709
189,https://www.washingtonpost.com/opinions/marco-rubio-is-running-scared/2016/02/03/787074bc-caca-11e5-a7b2-5a2f824b02c9_story.html,Marco Rubio is running scared,-0.760869562626,46.0,934,6,10,0.00642398286938,0.0107066381156,0.017130620985,0.00428265524625
