,title,url,org,candid_name,num_tweets,num_tweets_all,sentiment_mean,wc,negativ_ct,positiv_ct,negativ_percent,positiv_percent,emotionality,positivity
67,The long and winding road to the Republican nomination,http://www.cnn.com/2016/03/19/politics/trump-delegate-math-contested-convention/index.html,cnn,Kasich,3,175.0,0.24571429193,165,1,1,0.00606060606061,0.00606060606061,0.0121212121212,0.0
68,Who pays when Obama uses travel to rip Republicans?,http://www.mcclatchydc.com/news/politics-government/white-house/article55465890.html,mcclatchy,Kasich,1,69.0,-0.0724637657404,1085,4,16,0.0036866359447,0.0147465437788,0.0184331797235,0.0110599078341
69,New York Daily News blasts Trump: 'Dead Clown Walking',http://www.cnn.com/2016/02/02/politics/new-york-daily-news-donald-trump/index.html,cnn,Kasich,2,12.0,1.0,230,2,2,0.00869565217391,0.00869565217391,0.0173913043478,0.0
70,"Clinton White House mulled Trump question, docs show",http://www.cnn.com/2016/04/12/politics/donald-trump-bill-clinton-library-documents/index.html,cnn,Kasich,1,34.0,0.0,31,0,0,0.0,0.0,0.0,0.0
71,Judge dismisses attempt to kick Cruz off New York ballot,http://www.cnn.com/2016/03/07/politics/new-york-ted-cruz-birther-lawsuit/index.html,cnn,Kasich,1,30.0,-1.0,239,2,5,0.00836820083682,0.0209205020921,0.0292887029289,0.0125523012552
72,The Trump Blizzard of 2016: Republican Candidates For President and Climate Change,http://www.huffingtonpost.com/alan-farago/the-trump-blizzard-of-201_b_8997758.html,huffpo,Kasich,1,53.0,0.0377358496189,519,9,7,0.0173410404624,0.0134874759152,0.0308285163776,-0.00385356454721
73,New Trump ad slams Cruz as the 'worst kind of Washington insider',http://www.cnn.com/2016/02/09/politics/trump-cruz-sc-attack-ad/index.html,cnn,Kasich,1,13.0,-0.307692319155,287,10,3,0.0348432055749,0.0104529616725,0.0452961672474,-0.0243902439024
74,"GOP Veteran: Trump needs to win on first ballot, but would be a 'disaster'; Cruz just a 'fiasco'",http://www.cnn.com/2016/04/25/politics/axelrod-axe-files-mike-murphy-jeb-bush/index.html,cnn,Kasich,1,16.0,-0.75,72,0,0,0.0,0.0,0.0,0.0
75,Melania speaks at Trump South Carolina victory speech,http://www.cnn.com/2016/02/20/politics/melania-trump-south-carolina-trump/index.html,cnn,Kasich,1,27.0,1.0,349,0,4,0.0,0.0114613180516,0.0114613180516,0.0114613180516
76,Marco Rubio's Iowa mojo,http://www.politico.com/story/2016/01/marco-rubio-iowa-mojo-218434,politico,Kasich,1,28.0,0.0,2006,6,12,0.00299102691924,0.00598205383848,0.00897308075773,0.00299102691924
77,New anti-Trump ad: He's always talking '$#@!+',http://www.cnn.com/2016/03/07/politics/anti-donald-trump-ad-profanity/index.html,cnn,Kasich,1,28.0,0.142857149243,276,3,4,0.0108695652174,0.0144927536232,0.0253623188406,0.0036231884058
78,"TRUMP BATTLING THE 'WHAT IFS'  Railing against GOP process he willingly joined, front-runner now is dogged by talk of late-entries",http://www.foxnews.com/politics/2016/04/11/as-trump-targets-gop-process-speculation-swirls-around-alternative-candidates.html,fox,Kasich,1,104.0,-0.00961538497359,852,7,4,0.00821596244131,0.00469483568075,0.0129107981221,-0.00352112676056
79,6 Questions Ahead Of The Trump-Fox Split-Screen Squirmish,http://www.npr.org/2016/01/28/464652550/6-questions-ahead-of-the-trump-fox-split-screen-squirmish,npr,Kasich,1,69.0,0.0144927538931,1295,4,10,0.0030888030888,0.00772200772201,0.0108108108108,0.0046332046332
80,Hillary Clinton heckled over Bill Clinton's sex scandals,http://www.cnn.com/2016/01/03/politics/hillary-clinton-heckled-over-bill-clinton-sex-scandals/index.html,cnn,Kasich,1,266.0,-0.244360908866,630,2,3,0.0031746031746,0.0047619047619,0.00793650793651,0.0015873015873
81,Clinton ally: Trump is likely GOP nominee,http://www.cnn.com/2016/01/24/politics/donald-trump-david-brock-ted-cruz-2016/index.html,cnn,Kasich,2,131.0,0.282442748547,181,3,2,0.0165745856354,0.0110497237569,0.0276243093923,-0.00552486187845
82,GOP's Trump revolt: Too little too late?,http://www.cnn.com/2016/02/29/politics/donald-trump-gop-revolt/index.html,cnn,Kasich,2,287.0,-0.149825781584,1285,24,10,0.0186770428016,0.00778210116732,0.0264591439689,-0.0108949416342
83,New Hampshire primary: The GOP establishment's bloodbath,http://www.cnn.com/2016/02/06/politics/new-hampshire-primary-republican-establishment/index.html,cnn,Kasich,1,75.0,0.839999973774,1242,11,19,0.00885668276973,0.0152979066023,0.024154589372,0.00644122383253
84,Ted Cruz and Marco Rubio battle it out as Trump wins again,http://www.cnn.com/2016/02/24/politics/nevada-trump-cruz-rubio-super-tuesday/index.html,cnn,Kasich,1,28.0,0.642857134342,1226,10,15,0.00815660685155,0.0122349102773,0.0203915171289,0.00407830342577
85,"Can Donald Trump get to 1,237 delegates?",http://www.cnn.com/2016/03/25/politics/trump-cruz-kasich-1237-delegates/index.html,cnn,Kasich,3,155.0,0.0129032256082,15,0,0,0.0,0.0,0.0,0.0
86,Anne Frank's stepsister compares Donald Trump to Adolf Hitler,http://www.cnn.com/2016/01/27/politics/anne-frank-donald-trump-adolf-hitler/index.html,cnn,Kasich,2,445.0,0.941573023796,327,8,3,0.0244648318043,0.00917431192661,0.0336391437309,-0.0152905198777
87,How to watch GOP debate tonight,http://www.cnn.com/2016/03/10/politics/republican-debate/index.html,cnn,Kasich,1,197.0,0.0101522840559,190,0,1,0.0,0.00526315789474,0.00526315789474,0.00526315789474
88,Mark Levin to Donald Trump over Ted Cruz feud: 'Cut the crap',http://www.cnn.com/2016/01/16/politics/mark-levin-donald-trump-ted-cruz/index.html,cnn,Kasich,1,254.0,-0.807086586952,332,6,3,0.0180722891566,0.00903614457831,0.0271084337349,-0.00903614457831
89,"Hillary Clinton, Bernie Sanders, Wall Street, and America 2.0x",http://www.huffingtonpost.com/charles-ferguson/hillary-clinton-bernie-sa_b_9172128.html,huffpo,Kasich,1,10.0,-0.10000000149,1010,22,20,0.0217821782178,0.019801980198,0.0415841584158,-0.0019801980198
