url,org,candid_camp,num_tweets,num_tweets_all,sentiment_mean,wc,negativ_ct,positiv_ct,negativ_percent,positiv_percent,emotionality,positivity
http://www.politico.com/story/2016/01/donald-trump-ted-cruz-jump-shark-217390,politico,Sanders,1,14.0,0.0,1389.0,14.0,4.0,0.0100791936645,0.00287976961843,0.0129589632829,-0.00719942404608
http://www.politico.com/story/2016/01/trump-iowa-caucuses-standing-218228,politico,Sanders,2,17.0,-0.823529422283,2454.0,15.0,19.0,0.00611246943765,0.00774246128769,0.0138549307253,0.00162999185004
https://www.washingtonpost.com/news/the-fix/wp/2016/03/21/the-last-presidential-candidate-who-was-as-unpopular-as-donald-trump-david-duke/,washpo,Sanders,5,67.0,0.194029852748,1167.0,11.0,8.0,0.00942587832048,0.00685518423308,0.0162810625536,-0.0025706940874
http://www.politico.com/magazine/story/2016/04/hillary-clinton-2016-the-mystery-of-the-two-hillarys-213813,politico,Sanders,1,30.0,0.20000000298,1912.0,11.0,29.0,0.00575313807531,0.0151673640167,0.0209205020921,0.00941422594142
http://www.politico.com/story/2016/01/gop-insiders-it-was-a-rough-night-for-ted-cruz-218395,politico,Sanders,6,63.0,0.825396835804,2319.0,18.0,12.0,0.00776196636481,0.00517464424321,0.012936610608,-0.0025873221216
http://www.politico.com/story/2016/01/chuck-grassley-iowa-republicans-218205,politico,Sanders,1,17.0,0.0,1464.0,9.0,9.0,0.00614754098361,0.00614754098361,0.0122950819672,0.0
http://www.cnn.com/2016/03/15/politics/primary-election-2016-what-to-watch/index.html,cnn,Sanders,1,123.0,0.894308924675,1177.0,10.0,11.0,0.00849617672048,0.00934579439252,0.017841971113,0.000849617672048
https://www.washingtonpost.com/news/post-politics/wp/2016/01/05/bernie-sanders-mocks-donald-trumps-contention-that-the-chinese-created-climate-change/,washpo,Sanders,25,75.0,-0.0533333346248,301.0,2.0,6.0,0.00664451827243,0.0199335548173,0.0265780730897,0.0132890365449
http://www.politico.com/story/2016/01/reince-priebus-ted-cruz-trump-217489,politico,Sanders,3,23.0,1.0,1391.0,7.0,7.0,0.00503235082674,0.00503235082674,0.0100647016535,0.0
https://www.washingtonpost.com/news/the-fix/wp/2016/01/13/donald-trumps-national-lead-is-almost-twice-hillary-clintons/,washpo,Sanders,4,100.0,0.0500000007451,308.0,3.0,0.0,0.00974025974026,0.0,0.00974025974026,-0.00974025974026
http://www.politico.com/story/2016/01/ted-cruz-super-pac-ad-trump-218195,politico,Sanders,2,16.0,0.9375,1400.0,10.0,13.0,0.00714285714286,0.00928571428571,0.0164285714286,0.00214285714286
http://www.politico.com/story/2016/01/22-hillary-clinton-emails-declared-top-secret-218420,politico,Sanders,8,99.0,0.0505050495267,1565.0,4.0,15.0,0.00255591054313,0.00958466453674,0.0121405750799,0.00702875399361
