,url,org,num_tweets
72,http://www.foxnews.com/politics/2016/04/25/cruz-kasich-campaign-announce-collaboration-to-deny-trump-delegates.html,fox,91
73,http://www.cnn.com/2016/02/06/politics/republican-debate-fact-check/index.html,cnn,29
74,http://www.foxnews.com/politics/2016/01/12/clinton-sharpens-attacks-as-loses-ground-in-iowa-nh.html,fox,89
75,http://www.foxnews.com/politics/2016/01/05/trump-joins-air-wars-with-hard-hitting-spot-but-will-his-blitz-matter.html,fox,54
76,http://www.politico.com/story/2016/01/ted-cruz-anti-trump-217836,politico,75
77,http://www.cnn.com/2016/01/15/politics/republican-debate-2016-recap/index.html,cnn,165
78,http://www.cnn.com/2016/01/14/politics/republican-debate-2016-highlights/index.html,cnn,190
79,http://www.cnn.com/2016/01/20/politics/bob-dole-ted-cruz-donald-trump/index.html,cnn,113
81,http://money.cnn.com/2016/01/29/media/donald-trump-veterans-event/index.html,cnn,36
82,http://www.cnn.com/2016/01/29/politics/marco-rubio-pledge-donald-trump-embarrass/index.html,cnn,129
84,http://www.cnn.com/2016/02/05/politics/donald-trump-snow-new-hampshire-town-hall/index.html,cnn,105
85,http://blogs.wsj.com/washwire/2016/02/07/trump-leads-gop-by-wide-margin-in-poll/,wsj,31
86,http://www.politico.com/blogs/live-from-des-moines/2016/01/how-long-did-they-speak-218368,politico,26
88,http://www.cnn.com/2016/02/13/politics/republican-debate-things-to-watch/index.html,cnn,156
89,http://www.cnn.com/2016/02/14/politics/marco-rubio-ted-cruz-lies/index.html,cnn,176
91,http://www.cnn.com/2016/02/29/politics/trump-clinton-dominant-as-super-tuesday-looms/index.html,cnn,85
92,http://www.cnn.com/2016/03/01/politics/newt-gingrich-donald-trump-kkk-messed-up/index.html,cnn,15
94,http://www.foxnews.com/politics/2016/04/03/trump-acknowledges-bad-week-could-have-done-without-heidi-cruz-retweet.html,fox,23
95,http://www.foxnews.com/opinion/2016/01/07/public-school-recruits-students-to-work-for-hillary-clinton-campaign.html,fox,305
96,http://www.cnn.com/2016/01/03/politics/donald-trump-bill-clinton-fair-game/index.html,cnn,163
98,http://www.npr.org/2016/01/08/462345361/trump-in-vermont-i-would-love-to-run-against-bernie,npr,77
99,http://www.npr.org/2016/01/18/463446383/ted-cruz-to-make-17-stops-during-new-hampshire-bus-tour,npr,16
100,http://www.politico.com/magazine/story/2016/01/2016-gop-primary-crazier-than-you-think-213542,politico,161
102,http://www.cnn.com/2016/01/22/politics/rand-paul-senate-seat-democrats-challenger/index.html,cnn,60
103,http://www.cnn.com/2016/01/21/politics/national-review-magazine-opposes-donald-trump/index.html,cnn,312
104,http://www.foxnews.com/politics/2016/01/26/democratic-hopefuls-make-their-pitches-at-last-town-hall-before-iowa-caucuses.html,fox,21
105,http://www.npr.org/sections/thetwo-way/2016/01/23/464129029/donald-trump-i-could-shoot-somebody-and-i-wouldnt-lose-any-voters,npr,97
106,http://www.cnn.com/2016/01/30/politics/iowa-jeb-bush-debate/index.html,cnn,30
107,http://www.npr.org/2016/02/03/465456103/new-hampshire-newspaper-publisher-trump-has-overturned-the-table,npr,68
108,http://www.cnn.com/2016/02/12/politics/donald-trump-ted-cruz-dishonest/index.html,cnn,192
109,http://www.cnn.com/2016/02/29/politics/donald-trump-gop-revolt/index.html,cnn,287
111,http://www.cnn.com/2016/02/26/politics/donald-trump-spelling-debate-tweet/index.html,cnn,43
112,http://www.cnn.com/2016/03/10/politics/donald-trump-ohio-trade-pac/index.html,cnn,112
113,http://www.politico.com/story/2016/03/donald-trump-blames-bernie-sanders-rally-protests-220671,politico,12
114,http://www.cnn.com/2016/03/11/politics/republican-debate-takeaways/index.html,cnn,273
115,http://www.cnn.com/2016/03/13/politics/clinton-sanders-democratic-town-hall-duplicate-2/index.html,cnn,175
119,http://www.cnn.com/2016/03/17/politics/donald-trump-aipac-boycott-protest-rabbis-jewish-leaders/index.html,cnn,156
120,http://www.cnn.com/2016/04/12/politics/trump-cruz-endorsement/index.html,cnn,200
121,http://www.cnn.com/2016/04/27/politics/donald-trump-foreign-policy-speech/index.html,cnn,214
122,http://www.foxnews.com/politics/2016/01/06/joe-biden-on-2016-decision-regret-it-every-day.html,fox,70
123,http://www.politico.com/story/2016/01/georgia-republican-rep-lynn-westmoreland-to-retire-217466,politico,20
124,http://www.foxnews.com/politics/2016/01/11/conservative-elite-sounding-bit-panicked-says-trump-will-destroy-gop.html,fox,148
125,http://www.cnn.com/2016/01/18/opinions/roundup-sanders-clinton-omalley-january-debate/index.html,cnn,51
128,http://www.npr.org/2016/01/22/463929604/support-for-sen-marco-rubio-s-presidential-campaign-grows-on-capitol-hill,npr,22
130,http://www.politico.com/story/2016/01/jeb-bush-marco-rubio-super-pac-218255,politico,25
131,http://www.foxnews.com/opinion/2016/02/02/trump-fever-has-broken-cruz-out-organized-him-heres-whats-next.html,fox,32
132,http://www.cnn.com/2016/02/01/politics/ben-carson-home-florida-iowa-caucuses/index.html,cnn,20
133,http://www.cnn.com/2016/02/08/politics/clinton-shakeup-rumors-take-stock/index.html,cnn,68
134,http://www.cnn.com/2016/02/06/politics/new-hampshire-primary-republican-establishment/index.html,cnn,75
136,http://www.cnn.com/2016/02/10/politics/ted-cruz-donald-trump-seinfeld/index.html,cnn,28
138,http://www.cnn.com/2016/02/14/politics/republican-debate-takeaways/index.html,cnn,247
140,http://www.cnn.com/2016/02/16/politics/2016-south-carolina-republican-war/index.html,cnn,143
141,http://www.cnn.com/2016/02/29/politics/donald-trump-nascar-endorsements/index.html,cnn,23
143,http://money.cnn.com/2016/03/10/news/trump-model-visas/index.html,cnn,108
144,http://www.cnn.com/2016/03/07/politics/donald-trump-hillary-clinton-2016-election/index.html,cnn,24
145,http://www.cnn.com/2016/03/12/opinions/trump-israel-policy-miller/index.html,cnn,18
146,http://www.cnn.com/2016/04/03/opinions/trump-mri-of-the-soul-opinion-david-axelrod/index.html,cnn,182
147,http://www.cnn.com/2016/04/04/politics/donald-trump-wisconsin-problems-scott-walker/index.html,cnn,161
149,http://www.cnn.com/2016/04/05/politics/china-hillary-clinton-donald-trump/index.html,cnn,110
150,http://www.cnn.com/2016/01/07/politics/ted-cruz-citizenship-childhood/index.html,cnn,12
151,http://www.cnn.com/2016/01/12/politics/barack-obama-hillary-clinton-2016-election/index.html,cnn,38
153,http://www.npr.org/2016/01/18/463528847/citing-two-corinthians-trump-struggles-to-make-the-sale-to-evangelicals,npr,85
154,http://www.cnn.com/2016/01/21/politics/donald-trump-ted-cruz-republicans/index.html,cnn,310
155,http://www.cnn.com/2016/01/13/politics/ted-cruz-donald-trump-citizenship-iowa-questions/index.html,cnn,56
156,http://www.politico.com/story/2016/01/donald-trump-cleveland-convention-republicans-brand-218297,politico,40
157,http://www.cnn.com/2016/01/27/politics/jeb-bush-donald-trump-debate-boycott/index.html,cnn,23
159,http://www.politico.com/story/2016/01/ted-cruz-donald-trump-debate-iowa-218302,politico,63
163,http://www.cnn.com/2016/02/07/opinions/five-questions-new-hampshire-zelizer/index.html,cnn,19
164,http://www.cnn.com/2016/02/06/politics/jeb-bush-isis-donald-trump/index.html,cnn,154
166,http://www.cnn.com/2016/02/05/politics/sanders-democratic-fundraisers/index.html,cnn,106
167,http://www.cnn.com/2016/02/06/politics/state-of-the-union-donald-trump-hillary-clinton-bernie-sanders/index.html,cnn,104
169,http://www.cnn.com/2016/02/25/politics/rubio-republican-convention/index.html,cnn,42
170,http://www.cnn.com/2016/02/24/politics/nevada-trump-cruz-rubio-super-tuesday/index.html,cnn,28
171,http://www.cnn.com/2016/02/23/politics/nevada-republican-caucus-results/index.html,cnn,224
172,http://www.foxnews.com/politics/2016/02/29/rubio-cruz-and-clinton-aim-attacks-at-trump-ahead-super-tuesday.html,fox,36
173,http://www.cnn.com/2016/02/28/politics/hillary-clinton-memphis-churches/index.html,cnn,15
174,http://www.cnn.com/2016/02/28/politics/marco-rubio-donald-trump-make-america-orange/index.html,cnn,29
175,http://www.cnn.com/2016/03/06/politics/michigan-poll-donald-trump-hillary-clinton/index.html,cnn,29
176,http://www.cnn.com/2016/03/10/politics/best-quotes-republican-debate-miami/index.html,cnn,47
178,http://www.cnn.com/2016/03/08/politics/mitt-romney-marco-rubio-robocalls/index.html,cnn,74
179,http://www.cnn.com/2016/03/21/politics/donald-trump-aipac-israel-conference/index.html,cnn,116
180,http://www.foxnews.com/politics/2016/04/03/trump-cruz-take-different-paths-saturday-but-stay-on-attack.html,fox,39
182,http://www.cnn.com/2016/04/25/politics/ted-cruz-john-kasich-donald-trump/index.html,cnn,218
183,http://www.cnn.com/2016/04/25/politics/hillary-clinton-donald-trump/index.html,cnn,136
184,http://www.cnn.com/2016/01/12/politics/hillary-clinton-bernie-sanders-income-inequality/index.html,cnn,102
185,http://www.cnn.com/2016/01/21/politics/barbara-bush-jeb-bush-video/index.html,cnn,79
186,http://www.cnn.com/2016/01/21/politics/hillary-clinton-bernie-sanders-foreign-policy/index.html,cnn,39
187,http://www.cnn.com/2016/01/14/politics/martin-omalley-qualifies-debate-democrat-2016-election/index.html,cnn,37
188,http://www.cnn.com/2016/01/26/politics/donald-trump-republicans-democrats-political-prediction-market/index.html,cnn,26
189,http://www.npr.org/2016/01/26/464375175/trump-hammers-birther-charge-dismisses-cruz-as-the-canadian,npr,35
190,http://www.cnn.com/2016/01/24/politics/ip-forecast-the-other-trump-effect/index.html,cnn,20
191,http://www.cnn.com/2016/01/24/politics/donald-trump-iowa-rivals/index.html,cnn,29
192,http://www.cnn.com/2016/01/27/politics/donald-trump-pew-religion-poll-atheists/index.html,cnn,35
193,http://www.politico.com/story/2016/01/michael-bloomberg-presidential-trial-balloon-gop-reaction-218150,politico,125
194,https://www.washingtonpost.com/opinions/marco-rubio-and-bernie-sanders-were-the-real-winners-in-iowa/2016/02/02/470947a8-c978-11e5-a7b2-5a2f824b02c9_story.html,washpo,41
195,http://www.cnn.com/2016/02/03/politics/chris-christie-hillary-clinton-rear-end/index.html,cnn,22
196,http://www.cnn.com/2016/02/02/opinions/trump-is-a-loser-dantonio/index.html,cnn,46
199,http://www.foxnews.com/opinion/2016/02/20/america-could-be-looking-at-trump-clinton-contest.html,fox,74
200,http://www.cnn.com/2016/02/19/politics/ted-cruz-south-carolina-super-tuesday/index.html,cnn,61
201,http://www.cnn.com/2016/02/18/politics/donald-trump-ted-cruz-poll-cbs/index.html,cnn,48
202,http://www.foxnews.com/politics/2016/02/18/gun-rights-battle-heats-up-in-gop-primary.html,fox,81
203,http://www.cnn.com/2016/02/25/politics/best-quotes-republican-debate-houston/index.html,cnn,52
204,http://www.cnn.com/2016/02/25/politics/republican-debate-highlights/index.html,cnn,266
205,http://www.cnn.com/2016/03/07/politics/florida-poll-donald-trump-marco-rubio/index.html,cnn,103
206,http://www.cnn.com/2016/03/06/politics/nancy-reagan-dies-political-reaction/index.html,cnn,39
207,http://www.cnn.com/2016/03/11/politics/cnn-miami-gop-debate-in-gifs/index.html,cnn,23
208,http://www.cnn.com/2016/03/10/politics/trump-cruz-republican-leaders/index.html,cnn,50
209,http://www.cnn.com/2016/03/11/politics/john-kasich-ohio-donald-trump/index.html,cnn,43
210,http://www.cnn.com/2016/03/15/politics/marco-rubio-campaign-florida-utah/index.html,cnn,25
211,http://www.cnn.com/2016/03/16/politics/super-tuesday-missouri-delegates/index.html,cnn,117
212,http://www.cnn.com/2016/03/16/politics/latino-voters-naturalization-trump/index.html,cnn,158
213,http://www.foxnews.com/politics/2016/03/16/trump-builds-momentum-with-big-night-narrowing-field.html,fox,91
214,http://www.foxnews.com/politics/2016/03/17/what-happens-to-delegates-won-by-rubio-other-ex-candidates.html,fox,80
215,http://www.cnn.com/2016/03/16/politics/donald-trump-instagram-putin-clinton/index.html,cnn,61
216,http://www.cnn.com/2016/04/10/politics/donald-trump-paul-manafort-gestapo-tactics/index.html,cnn,151
217,http://www.cnn.com/2016/04/25/opinions/talk-radio-split-between-trump-and-cruz-opinion-rosenwald/index.html,cnn,22
