url,org,candid_ct,num_tweets,num_tweets_all,sentiment_mean,wc,negativ_ct,positiv_ct,negativ_percent,positiv_percent,emotionality,positivity
http://www.politico.com/story/2016/01/bernie-sanders-clinton-climate-change-218027,politico,5,3,15.0,0.0666666701436,1418.0,11.0,14.0,0.00775740479549,0.0098730606488,0.0176304654443,0.00211565585331
http://www.cnn.com/2016/01/20/politics/syrian-refugees-senate-vote-2016/index.html,cnn,5,5,138.0,-0.442028999329,957.0,11.0,12.0,0.0114942528736,0.012539184953,0.0240334378265,0.00104493207941
http://www.cnn.com/2016/01/03/politics/hillary-clinton-heckled-over-bill-clinton-sex-scandals/index.html,cnn,5,12,266.0,-0.244360908866,630.0,2.0,3.0,0.0031746031746,0.0047619047619,0.00793650793651,0.0015873015873
http://www.cnn.com/2016/01/26/politics/donald-trump-jerry-falwell-jr-endorsement/index.html,cnn,5,6,60.0,0.816666662693,172.0,0.0,3.0,0.0,0.0174418604651,0.0174418604651,0.0174418604651
http://www.cnn.com/2016/01/29/politics/ted-cruz-marco-rubio-republican-obama/index.html,cnn,5,9,57.0,0.122807018459,194.0,1.0,3.0,0.00515463917526,0.0154639175258,0.020618556701,0.0103092783505
http://www.cnn.com/2016/01/14/politics/rand-paul-fox-news-debate/index.html,cnn,5,6,43.0,-0.744186043739,339.0,2.0,2.0,0.00589970501475,0.00589970501475,0.0117994100295,0.0
http://www.politico.com/blogs/on-media/2016/01/donald-trump-megyn-kelly-218161,politico,5,2,21.0,0.0,1504.0,5.0,13.0,0.00332446808511,0.00864361702128,0.0119680851064,0.00531914893617
http://www.cnn.com/2016/01/25/politics/glenn-beck-donald-trump-dangerous/index.html,cnn,5,8,274.0,0.01094890479,376.0,7.0,1.0,0.0186170212766,0.00265957446809,0.0212765957447,-0.0159574468085
http://www.politico.com/story/2016/01/trump-liberty-university-217942,politico,5,5,51.0,0.0588235296309,1896.0,15.0,16.0,0.00791139240506,0.0084388185654,0.0163502109705,0.000527426160338
http://www.politico.com/story/2016/01/donald-trump-ronald-reagan-217545,politico,5,6,24.0,0.0,1666.0,9.0,19.0,0.00540216086435,0.0114045618247,0.0168067226891,0.00600240096038
http://www.cnn.com/2016/01/11/politics/john-kasich-new-hampshire-momentum/index.html,cnn,5,2,11.0,1.0,265.0,0.0,6.0,0.0,0.022641509434,0.022641509434,0.022641509434
http://www.politico.com/story/2016/04/donald-trump-republican-delegates-222116,politico,4,1,11.0,1.0,1707.0,6.0,17.0,0.00351493848858,0.0099589923843,0.0134739308729,0.00644405389572
https://www.washingtonpost.com/news/the-fix/wp/2016/03/23/why-donald-trump-is-poised-to-win-the-nomination-and-lose-the-general-election-in-one-poll/,washpo,4,2,55.0,0.800000011921,853.0,6.0,7.0,0.00703399765533,0.00820633059789,0.0152403282532,0.00117233294256
http://www.politico.com/story/2016/01/hillary-clinton-peacemaker-dovish-position-218263,politico,5,6,31.0,-0.0967741906643,2226.0,15.0,17.0,0.00673854447439,0.00763701707098,0.0143755615454,0.000898472596586
https://www.washingtonpost.com/news/the-fix/wp/2016/03/25/donald-trumps-statement-on-the-ted-cruz-affair-story-is-perfectly-trumpian/,washpo,5,3,15.0,0.866666674614,251.0,4.0,3.0,0.0159362549801,0.0119521912351,0.0278884462151,-0.00398406374502
http://www.politico.com/story/2016/01/carly-fiorina-trump-217350,politico,4,4,28.0,0.0,1419.0,13.0,15.0,0.0091613812544,0.0105708245243,0.0197322057787,0.00140944326991
http://www.politico.com/story/2016/01/ted-cruz-donald-trump-debate-iowa-218302,politico,5,13,63.0,0.0317460335791,2031.0,17.0,14.0,0.00837026095519,0.00689315608075,0.0152634170359,-0.00147710487445
http://www.politico.com/story/2016/01/do-democrats-watch-gop-debates-218398,politico,5,2,16.0,0.0,1197.0,5.0,11.0,0.00417710944027,0.00918964076859,0.0133667502089,0.00501253132832
http://www.politico.com/story/2016/01/ted-cruz-hillary-clinton-backers-donald-trump-217641,politico,5,3,51.0,0.274509817362,1452.0,11.0,17.0,0.00757575757576,0.0117079889807,0.0192837465565,0.00413223140496
http://www.cnn.com/2016/04/06/politics/wisconsin-primary-election-2016-takeaways/index.html,cnn,5,1,125.0,0.991999983788,37.0,0.0,0.0,0.0,0.0,0.0,0.0
http://www.cnn.com/2016/01/07/politics/hillary-clinton-selfie-esquire/index.html,cnn,5,10,47.0,0.0638297870755,737.0,5.0,4.0,0.0067842605156,0.00542740841248,0.0122116689281,-0.00135685210312
http://www.cnn.com/2016/01/16/politics/ted-cruz-government-shutdown-obamacare/index.html,cnn,5,10,57.0,0.0175438597798,851.0,7.0,14.0,0.00822561692127,0.0164512338425,0.0246768507638,0.00822561692127
http://www.politico.com/story/2016/01/hillary-clinton-state-department-watchdog-218087,politico,5,2,17.0,-0.117647059262,2546.0,18.0,30.0,0.00706991358995,0.0117831893166,0.0188531029065,0.00471327572663
http://www.cnn.com/2016/01/17/politics/bernie-sanders-health-care-plan-sotu/index.html,cnn,5,2,20.0,-0.550000011921,317.0,4.0,8.0,0.01261829653,0.0252365930599,0.0378548895899,0.01261829653
http://www.politico.com/story/2016/01/trump-on-obama-crying-217398,politico,5,5,23.0,-1.0,1378.0,11.0,9.0,0.00798258345428,0.00653120464441,0.0145137880987,-0.00145137880987
http://www.cnn.com/2016/01/16/politics/bernie-sanders-south-carolina-democratic-debate/index.html,cnn,5,9,149.0,0.328859061003,1318.0,8.0,21.0,0.00606980273141,0.01593323217,0.0220030349014,0.00986342943854
http://www.cnn.com/2016/01/20/politics/new-hampshire-poll-trump-leads-cruz-climbs/index.html,cnn,5,13,78.0,0.705128192902,319.0,4.0,2.0,0.012539184953,0.00626959247649,0.0188087774295,-0.00626959247649
http://www.politico.com/story/2016/01/megyn-kelly-trump-obsessed-218273,politico,5,18,141.0,0.205673754215,2275.0,13.0,13.0,0.00571428571429,0.00571428571429,0.0114285714286,0.0
http://www.cnn.com/2016/01/17/politics/ted-cruz-donald-trump-2016-south-carolina/index.html,cnn,5,7,118.0,0.00847457628697,825.0,13.0,9.0,0.0157575757576,0.0109090909091,0.0266666666667,-0.00484848484848
http://www.cnn.com/2016/01/04/politics/hillary-clinton-donald-trump-isis/index.html,cnn,5,3,20.0,0.15000000596,221.0,3.0,1.0,0.0135746606335,0.00452488687783,0.0180995475113,-0.00904977375566
http://www.politico.com/blogs/live-from-des-moines/2016/01/cruz-chris-wallace-clash-218379,politico,5,2,10.0,0.0,1266.0,7.0,10.0,0.00552922590837,0.00789889415482,0.0134281200632,0.00236966824645
http://www.cnn.com/2016/03/31/politics/john-kasich-wisconsin/index.html,cnn,5,2,49.0,0.0204081628472,29.0,0.0,0.0,0.0,0.0,0.0,0.0
http://www.cnn.com/2016/01/30/politics/donald-trump-air-force-one-iowa/index.html,cnn,5,2,38.0,0.763157904148,373.0,1.0,4.0,0.00268096514745,0.0107238605898,0.0134048257373,0.00804289544236
http://www.cnn.com/2016/01/16/politics/ted-cruz-tea-party-rally-donald-trump-marco-rubio/index.html,cnn,5,5,32.0,-0.78125,606.0,8.0,12.0,0.013201320132,0.019801980198,0.03300330033,0.00660066006601
http://www.cnn.com/2016/01/06/politics/north-korea-nuclear-test-clinton-trump/index.html,cnn,5,5,42.0,-0.047619048506,1165.0,23.0,20.0,0.0197424892704,0.0171673819742,0.0369098712446,-0.00257510729614
http://www.cnn.com/2016/01/13/politics/donald-trump-white-nationalist-robocalls/index.html,cnn,5,7,58.0,-0.051724139601,671.0,10.0,10.0,0.0149031296572,0.0149031296572,0.0298062593145,0.0
http://www.politico.com/story/2016/01/marco-rubio-survival-strategy-218268,politico,5,10,41.0,0.0731707289815,3406.0,14.0,38.0,0.00411039342337,0.0111567821491,0.0152671755725,0.00704638872578
http://www.cnn.com/2016/01/11/politics/jeff-weaver-bernie-sanders-hillary-clinton-guns/index.html,cnn,5,2,14.0,0.0,412.0,8.0,2.0,0.0194174757282,0.00485436893204,0.0242718446602,-0.0145631067961
http://www.cnn.com/2016/01/04/politics/donald-trump-new-tv-ad-iowa-new-hampshire/index.html,cnn,5,4,120.0,0.0250000003725,365.0,5.0,2.0,0.013698630137,0.00547945205479,0.0191780821918,-0.00821917808219
http://www.politico.com/story/2016/01/juanita-broaddrick-supports-trump-217446,politico,5,3,27.0,-1.0,1261.0,14.0,9.0,0.0111022997621,0.0071371927042,0.0182394924663,-0.00396510705789
